# beta	delta
nan -8.695153094608691902e-01
nan -8.693423186387448931e-01
nan -8.691693598281859945e-01
nan -8.689964330203076015e-01
nan -8.688235382062283740e-01
nan -8.686506753770703027e-01
nan -8.684778445239585976e-01
nan -8.683050456380214666e-01
nan -8.681322787103908922e-01
nan -8.679595437322019658e-01
nan -8.677868406945925539e-01
nan -8.676141695887046312e-01
nan -8.674415304056830589e-01
nan -8.672689231366756957e-01
nan -8.670963477728340640e-01
nan -8.669238043053130172e-01
nan -8.667512927252701838e-01
nan -8.665788130238669673e-01
nan -8.664063651922678799e-01
nan -8.662339492216405423e-01
nan -8.660615651031559059e-01
nan -8.658892128279883638e-01
nan -8.657168923873154176e-01
nan -8.655446037723176778e-01
nan -8.653723469741795293e-01
nan -8.652001219840880220e-01
nan -8.650279287932336469e-01
nan -8.648557673928104483e-01
nan -8.646836377740153567e-01
nan -8.645115399280484114e-01
nan -8.643394738461136484e-01
nan -8.641674395194176572e-01
nan -8.639954369391703581e-01
nan -8.638234660965853351e-01
nan -8.636515269828787256e-01
nan -8.634796195892704418e-01
nan -8.633077439069836156e-01
nan -8.631358999272445987e-01
nan -8.629640876412825179e-01
nan -8.627923070403303862e-01
nan -8.626205581156241031e-01
nan -8.624488408584026766e-01
nan -8.622771552599086675e-01
nan -8.621055013113878562e-01
nan -8.619338790040887988e-01
nan -8.617622883292638258e-01
nan -8.615907292781682658e-01
nan -8.614192018420604446e-01
nan -8.612477060122023520e-01
nan -8.610762417798589752e-01
nan -8.609048091362982991e-01
nan -8.607334080727917502e-01
nan -8.605620385806145300e-01
nan -8.603907006510437272e-01
nan -8.602193942753607603e-01
nan -8.600481194448501565e-01
nan -8.598768761507988856e-01
nan -8.597056643844978030e-01
nan -8.595344841372412059e-01
nan -8.593633354003256120e-01
nan -8.591922181650516466e-01
nan -8.590211324227227108e-01
nan -8.588500781646458693e-01
nan -8.586790553821304073e-01
nan -8.585080640664899398e-01
nan -8.583371042090407466e-01
nan -8.581661758011018826e-01
nan -8.579952788339963998e-01
nan -8.578244132990503479e-01
nan -8.576535791875923298e-01
nan -8.574827764909549455e-01
nan -8.573120052004736813e-01
nan -8.571412653074869104e-01
nan -8.569705568033365584e-01
nan -8.567998796793678817e-01
nan -8.566292339269286904e-01
nan -8.564586195373705690e-01
nan -8.562880365020479889e-01
