# Time	a_winner	a_loosers
1.834287000000000134e+01 1.036203127127617307e+01 6.967795987770063704e+00
1.868747000000000114e+01 1.044893743917014284e+01 6.926375568977392483e+00
1.903208000000000055e+01 1.053754487309987553e+01 6.992879923718471780e+00
1.937668000000000035e+01 1.063510950132871180e+01 7.212163890406658062e+00
1.972128999999999976e+01 1.072930534226007460e+01 7.315516365135851018e+00
2.006588999999999956e+01 1.081430338945148151e+01 7.387896894520789459e+00
2.041048999999999936e+01 1.089948325452117572e+01 7.386320283004803144e+00
2.075506999999999991e+01 1.098556810301961306e+01 7.496204009957332381e+00
2.109963000000000122e+01 1.107210566567993482e+01 7.550490000541274505e+00
2.144416999999999973e+01 1.116012771307179108e+01 7.614882620059222340e+00
2.178868999999999900e+01 1.124252952189358012e+01 7.684356415273700946e+00
2.213317999999999941e+01 1.133135932378867672e+01 7.679182258975642661e+00
2.247764000000000095e+01 1.142238514430809282e+01 7.741566372209478963e+00
2.282206000000000046e+01 1.151720785686391224e+01 7.918059784044674032e+00
2.316644000000000148e+01 1.160840569288825286e+01 7.908215666267992994e+00
2.351077000000000083e+01 1.169481466417491689e+01 7.963264891055734651e+00
2.395504999999999995e+01 1.178789809493463103e+01 8.121203483254936017e+00
2.429926999999999992e+01 1.187069149331632545e+01 8.072595786749589664e+00
2.464342999999999861e+01 1.196147023084484040e+01 8.128097462356125291e+00
2.498752999999999957e+01 1.205483598704450010e+01 8.280570269205561829e+00
2.533156999999999925e+01 1.213431471941902906e+01 8.339391326298216001e+00
2.567552999999999841e+01 1.221950519158760429e+01 8.313590250098462420e+00
2.601941000000000059e+01 1.230367680322490109e+01 8.370153360763771033e+00
2.636321999999999832e+01 1.239093445123927673e+01 8.363256896035123233e+00
2.670693999999999946e+01 1.247941028519171347e+01 8.404547135405401548e+00
2.705058000000000007e+01 1.256635968794532410e+01 8.384607326582147024e+00
2.743062000000000111e+01 1.265968830392624511e+01 8.322868695900767833e+00
2.777234999999999943e+01 1.276365128836762608e+01 8.255298381453672008e+00
2.811403999999999925e+01 1.287582391982978436e+01 8.501382442491133062e+00
2.842118999999999929e+01 1.298000498484106480e+01 8.431379276390702060e+00
2.874612000000000123e+01 1.308022362604888222e+01 8.612209791651093127e+00
2.917076000000000136e+01 1.317635093069324981e+01 8.541999632749265103e+00
2.949509000000000114e+01 1.328102992826695150e+01 8.566489448275687479e+00
2.981912000000000162e+01 1.337981990581523561e+01 8.575817628129934533e+00
3.014283000000000001e+01 1.348277525564858514e+01 8.552376320396243514e+00
3.055023999999999873e+01 1.358581467885688632e+01 8.466986651203409764e+00
3.085370999999999952e+01 1.369469950192869234e+01 8.377058949257795817e+00
3.122887000000000057e+01 1.381263459399437643e+01 8.280864531895995029e+00
3.158331000000000088e+01 1.392896918419975272e+01 8.255340614348282813e+00
3.191653000000000162e+01 1.405264318669838275e+01 8.150354021642506552e+00
3.223714999999999975e+01 1.418445185851327750e+01 8.038909318590514275e+00
3.257569999999999766e+01 1.432731762451945023e+01 7.919271260076670593e+00
3.292186999999999841e+01 1.447954357887342702e+01 7.960346400814512613e+00
3.328513999999999839e+01 1.463573503861160141e+01 7.868983137126027927e+00
3.389609000000000094e+01 1.481900242254416078e+01 7.811755924216924996e+00
3.450533000000000072e+01 1.497947058531262599e+01 7.788564955328800110e+00
3.520190000000000197e+01 1.496413092799194189e+01 7.765735250786807597e+00
3.653002000000000038e+01 1.513202879549865720e+01 7.614544868748188478e+00
3.792390000000000327e+01 1.528912413032870532e+01 7.474592316263998448e+00
3.931777999999999906e+01 1.528411607646337167e+01 7.323005943630993109e+00
4.071166000000000196e+01 1.547493966314688585e+01 7.155455930444183821e+00
4.210553999999999775e+01 1.569602989479960087e+01 6.959972012361424376e+00
4.349942000000000064e+01 1.589778102045353592e+01 6.784634279344247787e+00
4.489330000000000354e+01 1.594959636557025284e+01 6.598454332730417704e+00
4.628717999999999932e+01 1.603644158955860277e+01 6.439996892587205757e+00
4.768106000000000222e+01 1.630102429852615131e+01 6.307459057242964739e+00
4.907493999999999801e+01 1.632163816889380570e+01 6.267292360411016894e+00
5.046882000000000090e+01 1.580231582567689763e+01 6.100284625659921467e+00
5.186269000000000062e+01 1.606097463052964969e+01 5.900081293694571904e+00
5.325657000000000352e+01 1.625339853926832845e+01 5.796842145844320449e+00
5.465044999999999931e+01 1.604201321500855926e+01 5.657338580091018976e+00
5.604433000000000220e+01 1.577475219049569688e+01 5.552466315169436228e+00
5.743820999999999799e+01 1.549291927212692777e+01 5.437910077620107252e+00
5.883209000000000088e+01 1.569095233179915816e+01 5.309046627318156908e+00
6.022596999999999667e+01 1.592256180473034100e+01 5.157523606694017992e+00
6.161984999999999957e+01 1.614728656459067579e+01 5.012133025352332183e+00
6.301373000000000246e+01 1.609686344012632020e+01 4.895160943673271703e+00
6.440761000000000536e+01 1.584131876854972987e+01 4.969069655536258345e+00
6.580149000000000115e+01 1.598167748834533164e+01 4.881509853911628838e+00
6.719536999999999694e+01 1.559851500587141793e+01 4.788573669578887859e+00
6.858924000000000376e+01 1.576788573669052518e+01 4.689467835862417111e+00
6.998311999999999955e+01 1.594967501797308707e+01 4.583078392187062811e+00
7.137699999999999534e+01 1.614684338736782365e+01 4.467687599569502233e+00
7.277088000000000534e+01 1.636480996756654349e+01 4.340169759955798234e+00
7.416476000000000113e+01 1.661859873480802463e+01 4.191954371554822423e+00
7.555863999999999692e+01 1.688656274281163761e+01 4.135553915100314448e+00
7.695252000000000692e+01 1.713838375973751127e+01 3.985863129937553317e+00
7.834640000000000271e+01 1.686517802163803736e+01 3.882903750926751218e+00
7.974026999999999532e+01 1.655568081979350836e+01 3.767605111987782252e+00
8.113415000000000532e+01 1.681568369461919943e+01 3.633977487999567657e+00
8.252803000000000111e+01 1.701609097019550987e+01 3.531401830180925128e+00
8.392190999999999690e+01 1.699085283234478894e+01 3.428636575923893481e+00
8.531579000000000690e+01 1.693816669914749795e+01 3.316324209714790250e+00
8.670965999999999951e+01 1.720266778813011754e+01 3.191214399166216964e+00
8.810353999999999530e+01 1.750892732159931242e+01 3.046141157592371140e+00
8.949742000000000530e+01 1.789880047290352039e+01 2.861015648643888021e+00
9.089130000000000109e+01 1.820594614048719961e+01 2.715691398875999862e+00
9.228516999999999371e+01 1.796112764894437319e+01 2.620432301074496984e+00
9.367905000000000371e+01 1.717036674211600911e+01 2.541846153958635668e+00
9.507292999999999950e+01 1.699679126914100280e+01 2.453665721259940646e+00
9.646680000000000632e+01 1.728890032587177927e+01 2.351104753963884963e+00
9.786068000000000211e+01 1.757269019821083944e+01 2.251707007451823728e+00
9.925454999999999472e+01 1.745207201896168314e+01 2.159055992424705472e+00
1.006484300000000047e+02 1.766003209082320424e+01 2.091552049590193363e+00
1.020422999999999973e+02 1.710547896632707676e+01 2.016302670270403663e+00
1.034361700000000042e+02 1.742114338867708767e+01 1.925531262732997462e+00
1.048300399999999968e+02 1.771198738082165747e+01 1.842850940517130942e+00
1.062239100000000036e+02 1.802123193495396336e+01 1.755957979344228814e+00
1.076177899999999994e+02 1.783625292508705940e+01 1.747698801121723600e+00
1.090116500000000030e+02 1.764833530300174758e+01 1.664026225887435206e+00
1.104055199999999957e+02 1.791349221100899669e+01 1.595083165478572429e+00
1.117993900000000025e+02 1.820085469721329119e+01 1.520366689462012255e+00
1.131932599999999951e+02 1.782811554324579717e+01 1.466215203893824315e+00
1.145871199999999988e+02 1.751834850005225519e+01 1.407147008791521436e+00
1.159809800000000024e+02 1.781524828417588324e+01 1.341829056284324029e+00
1.173748400000000061e+02 1.815112513666808525e+01 1.267936148736039659e+00
1.187686999999999955e+02 1.855012450120838707e+01 1.180156288537172804e+00
1.201625599999999991e+02 1.904592047142818600e+01 1.071078851811788191e+00
1.215564099999999996e+02 1.949604569439797785e+01 9.720462442565813710e-01
1.229502600000000001e+02 1.925908481650451876e+01 9.284884000859281450e-01
1.243441100000000006e+02 1.854105714575716846e+01 8.729624160107910535e-01
1.257379600000000011e+02 1.792350894520448534e+01 8.422031291352203297e-01
1.271317999999999984e+02 1.711057997660689622e+01 8.059770622013442409e-01
1.285256300000000067e+02 1.752061793123123223e+01 7.567698721928181049e-01
1.299194699999999898e+02 1.773338418539901440e+01 7.312379216926838676e-01
1.313132899999999950e+02 1.670645722733376815e+01 6.975912501731816873e-01
1.327071200000000033e+02 1.695933792535043594e+01 6.723007401499557778e-01
1.341009300000000053e+02 1.709576627405966320e+01 6.586579052790326738e-01
1.354947400000000073e+02 1.561054901478020973e+01 6.435057251705309511e-01
1.368885400000000061e+02 1.582741082677746824e+01 6.261567802107499414e-01
1.382823400000000049e+02 1.609408253964090818e+01 6.048230431816744579e-01
1.396761199999999974e+02 1.647425928786863381e+01 5.744063329419504260e-01
1.410698999999999899e+02 1.654672346281824247e+01 5.686091989459816087e-01
1.424636700000000076e+02 1.457669667733571828e+01 5.625391543737220390e-01
1.438574199999999905e+02 1.468273567052539619e+01 5.561768147823411557e-01
1.452511599999999987e+02 1.479401257902785183e+01 5.495002002721938172e-01
1.466448900000000037e+02 1.491094691218550849e+01 5.424841402827346171e-01
1.480386100000000056e+02 1.503402458408228348e+01 5.350994799689279269e-01
1.494322999999999979e+02 1.516381592672694545e+01 5.273119994102484220e-01
1.508259799999999871e+02 1.530100087076137605e+01 5.190809027681827503e-01
1.522196500000000015e+02 1.544640514654363450e+01 5.103566462212469901e-01
1.536132900000000063e+02 1.560105419544358796e+01 5.010777032872498760e-01
1.550069100000000049e+02 1.576625691584177424e+01 4.911655400633586632e-01
1.564004999999999939e+02 1.594374272561026906e+01 4.805163914772487277e-01
1.577940700000000049e+02 1.613590132943848232e+01 4.689868752475558900e-01
1.591876200000000097e+02 1.634624082073633389e+01 4.563665057696846827e-01
1.605811300000000017e+02 1.658037784980801632e+01 4.423182840253837012e-01
1.619746199999999874e+02 1.684862054152847222e+01 4.262237225221564008e-01
1.633680699999999888e+02 1.717541148279615371e+01 4.066162660460955203e-01
1.647614900000000091e+02 1.771580563273316500e+01 3.741926170498745541e-01
1.661548699999999883e+02 1.782538294913996069e+01 3.676153241657851845e-01
1.675482199999999864e+02 1.789528052109819001e+01 3.634214698482910455e-01
1.689202999999999975e+02 1.496513723136266805e+01 3.590495845232878347e-01
1.703113199999999949e+02 1.507914344352505509e+01 3.544893360367920576e-01
1.717023700000000019e+02 1.519814247212028846e+01 3.497293748929828361e-01
1.730934499999999900e+02 1.532244772409661770e+01 3.447571648139294842e-01
1.744845400000000097e+02 1.545240744580015146e+01 3.395587759457880939e-01
1.758756500000000074e+02 1.558841124749158524e+01 3.341186238781306828e-01
1.772667899999999861e+02 1.573089809816703877e+01 3.284191498511125906e-01
1.786579399999999964e+02 1.588036701936594142e+01 3.224403930031564669e-01
1.801491100000000074e+02 1.603739073981992647e+01 3.161594441849970294e-01
1.815402899999999988e+02 1.620263393272287544e+01 3.095497164688789105e-01
1.829314899999999966e+02 1.637687797708784387e+01 3.025799546942803953e-01
1.843226999999999975e+02 1.656105540257685504e+01 2.952128576747201083e-01
1.857139200000000017e+02 1.675629923097736551e+01 2.874031045386995498e-01
1.871051500000000090e+02 1.696401600506088059e+01 2.790944335753587913e-01
1.884963899999999910e+02 1.718599846320439539e+01 2.702151352496184877e-01
1.898876300000000015e+02 1.742460836312693218e+01 2.606707392527168876e-01
1.912788799999999867e+02 1.768309275661771451e+01 2.503313635130856585e-01
1.926701400000000035e+02 1.796617925792057591e+01 2.390079034609712827e-01
1.940613899999999887e+02 1.828133522808517952e+01 2.264016646543871025e-01
1.954526500000000055e+02 1.864194139871498379e+01 2.119774178291949085e-01
1.968438999999999908e+02 1.907813231949829813e+01 1.945297809978621117e-01
1.982351500000000044e+02 1.972158659255560309e+01 1.687916100755700588e-01
1.996263999999999896e+02 2.003819980466050055e+01 1.561247459553312678e-01
2.010176400000000001e+02 2.011481201982864775e+01 1.530602573486052886e-01
2.024088700000000074e+02 1.611410301273232903e+01 1.498567699283413768e-01
2.038000900000000115e+02 1.628169504938103174e+01 1.465049291953670896e-01
